time;Pixel rightCheek
50.654;194.4818664818665,170.76668976668978,170.76576576576576
50.793;194.5127010020974,170.24446515963646,170.4763458401305
50.894;193.72831574116566,169.78430472693896,169.90408444240478
50.995;195.87347988774556,171.45275958840037,171.6190364826941
51.098;193.74428702010968,170.23834552102377,170.14785191956125
51.232;194.14527732652587,170.28057553956833,170.4084474355999
51.399;194.04708624708624,170.1757575757576,170.1969696969697
51.533;193.71800232288038,169.9732868757259,170.11753774680605
51.635;194.75820825515947,170.97889305816136,171.031191369606
51.736;193.6054705609643,169.60106629578118,169.3868799258229
51.844;193.58118466898955,169.90034843205575,170.04436701509871
51.976;195.06360912652684,170.86955519705,171.0126757317354
52.079;194.32471465175868,170.60237596086654,170.49359422315396
52.183;195.62843182875756,171.62005583992556,171.50953932061424
52.292;194.15416570505423,169.94853450265404,170.19847680590814
52.427;194.55791686127978,170.93764595983185,170.73750583839328
52.561;194.61292548298067,170.71596136154554,170.41513339466422
52.664;193.8497337346608,170.11646214401483,170.3077101180829
52.765;194.95700416088766,171.06195099398983,171.10425335182617
52.866;195.0647867629923,170.60615241202518,170.6310883243999
52.967;192.7902292197268,169.2674230145867,169.19888863162768
53.104;194.33411433926898,170.78561387066543,170.56044985941892
53.206;193.55812876331635,170.22880963408986,169.8649837887911
53.306;194.05562020013963,170.1796602280661,169.9951128694438
53.476;194.33037590473967,170.5131916880691,170.37964043894468
53.579;193.26712962962964,169.64513888888888,169.67152777777778
