time;interpolated Pixel leftCheek
13.245;224.50916447202488,198.18750675209978,200.93572080452358
13.275;224.7614837625183,198.49394923417955,201.2251537921628
13.305;225.01380305301174,198.80039171625933,201.51458677980204
13.335;225.2661223435052,199.10683419833913,201.80401976744128
13.365;225.02754161712593,198.83625132441702,201.52959070214013
13.395;224.77203330395795,198.5457710244259,201.23571811777208
13.425;224.51652499078997,198.2552907244348,200.94184553340406
13.455;224.62135311371523,198.3281268819419,201.02008839067253
13.485;224.96640552736932,198.6431740111145,201.34640820903203
13.515;225.31145794102338,198.95822114028707,201.6727280273915
13.545;225.65651035467747,199.27326826945966,201.99904784575102
13.575;225.050734836486,198.73013479226975,201.4719593769839
13.605;224.44495931829454,198.1870013150798,200.94487090821679
13.635;223.83918380010306,197.6438678378899,200.41778243944967
13.665;223.2334082819116,197.1007343607,199.89069397068255
13.695;223.354426933012,197.16486501546555,200.01014067773005
13.725;224.20223975340426,197.83625980218662,200.77612256059217
13.755;225.0500525737965,198.50765458890768,201.5421044434543
13.785;225.76544496263224,199.07060011486732,202.18912131362478
13.815;225.28905346745915,198.65750229397403,201.7654530695706
13.845;224.8126619722861,198.24440447308075,201.34178482551647
13.875;224.33627047711303,197.8313066521875,200.9181165814623
13.905;224.1649634307964,197.7311806404092,200.83982747466266
13.935;224.45128305776447,198.10051234230346,201.27960707374478
13.965;224.73760268473254,198.46984404419769,201.71938667282691
13.995;225.0239223117006,198.8391757460919,202.15916627190904
14.025;224.81581450950281,198.5347988218585,201.7852179567257
14.055;224.60770670730503,198.23042189762504,201.41126964154233
14.085;224.39959890510724,197.9260449733916,201.03732132635898
14.115;224.6458009369122,198.15929429251628,201.2519163158408
14.145;225.15502445156088,198.7038009104272,201.80724690276034
14.175;225.66424796620953,199.2483075283381,202.36257748967986
14.205;226.0431288131193,199.7041019427978,202.7574747955519
14.235;226.11787676863833,199.95290121587124,202.7780277789797
14.265;226.12145732954795,200.1071448583771,202.73216994519507
14.295;225.48453133897314,199.4103878257748,202.08861475649846
14.325;224.84760534839833,198.71363079317248,201.44505956780188
14.355;224.99299905051177,198.69132257643537,201.57606248775738
14.385;225.29485669116286,198.80390412287127,201.86197702944332
14.415;225.59671433181396,198.9164856693072,202.1478915711293
14.445;225.56815521822344,198.81872369042253,202.0682487297952
14.475;225.1619769569282,198.4805691111715,201.57082602215246
14.505;224.755798695633,198.14241453192042,201.07340331450973
14.535;224.45294762183266,197.89190780178103,200.6921124040644
14.565;225.0800412354865,198.43023171364635,201.35600766839588
14.595;225.70713484914032,198.96855562551167,202.01990293272735
14.625;225.47809426326427,198.81738832511832,201.8761117176351
14.655;225.11734072361435,198.56014545360824,201.60806104416994
14.685;224.75658718396446,198.30290258209814,201.34001037070482
14.715;224.85724214799527,198.3873850773271,201.47509548871344
14.745;225.48522111623257,198.86241084882926,202.07090722554923
14.775;225.99179438969935,199.22927697292215,202.55347915862276
14.805;226.01274488408401,199.163504507378,202.58309187664725
14.835;226.03369537846868,199.09773204183386,202.61270459467173
14.865;225.66291890616407,198.91024115393756,202.21012948126025
14.895;225.21379704052163,198.69840658157082,201.72111680156164
