time;interpolated Pixel forehead
13.022;245.39820773863394,235.35757018707204,237.09896307620318
13.052;245.5351802568042,235.52587247585603,237.34230273266024
13.082;245.67459119841968,235.85449133011414,237.66690902107112
13.112;245.81400214003511,236.18311018437225,237.991515309482
13.142;246.09671433317672,236.64696379894423,238.48871422504712
13.172;246.4152518391998,237.14462610359465,239.02906129740077
13.202;246.73378934522293,237.64228840824507,239.56940836975443
13.232;246.80266557285046,237.78738080037988,239.70705912630012
13.262;246.2889988175549,237.1098100633116,238.90508514596058
13.292;245.77533206225937,236.43223932624338,238.10311116562104
13.322;245.26166530696383,235.7546685891751,237.3011371852815
13.352;245.10229418402974,235.45397930527608,237.04077165437388
13.382;244.9682298919786,235.18021012517482,236.81909244128286
13.412;244.8341655999275,234.90644094507357,236.59741322819184
13.442;244.70010130787637,234.63267176497232,236.37573401510082
13.472;244.75638582890167,234.68187272492605,236.44074793212334
13.502;245.06158802856535,235.15341925264403,236.88066825006365
13.532;245.36679022822906,235.624965780362,237.32058856800396
13.562;245.6670561445904,236.08889226532477,237.75407168601646
13.592;245.82416984518323,236.33183751038655,238.00087600612258
13.622;245.98128354577608,236.57478275544833,238.24768032622873
13.652;245.89402181856542,236.39657851290087,238.01865933026355
13.682;245.73238496115366,236.09019833934195,237.64482193375488
13.712;245.58987664788577,235.84419745289446,237.3938730723901
13.742;245.46922952792517,235.66720146600298,237.28336825118976
13.772;245.34858240796456,235.49020547911147,237.1728634299894
13.802;245.22648201183756,235.3041284128413,237.0456647028339
13.832;245.09130213021302,235.03632163216324,236.7682208220822
13.862;244.95612224858849,234.76851485148515,236.4907769413305
13.892;244.82094236696395,234.5007080708071,236.21333306057878
13.922;244.77249378343998,234.39817635753747,236.13016115347892
13.952;244.75558385377076,234.35574466878,236.11763360043426
13.982;244.73867392410156,234.31331298002254,236.10510604738963
14.012;244.70196259322282,234.26371363948357,236.0753366543381
14.042;244.63554916052985,234.20336282127232,236.01970450127624
14.072;244.56913572783685,234.1430120030611,235.9640723482144
14.102;244.50272229514385,234.08266118484985,235.9084401951525
14.132;244.4363088624509,234.0223103666386,235.85280804209066
14.162;245.30249165575165,235.3385483141586,237.1840017202274
14.192;246.27229625194062,236.80774056898204,238.66928715738618
14.222;246.85123482075937,237.717146365798,239.61267919299178
14.252;246.91904089224786,237.89452371752722,239.847441395797
14.282;246.98684696373638,238.07190106925646,240.08220359860223
14.312;247.0532866183937,238.24482132475586,240.30920179217904
14.342;247.08010018494727,238.28848578959114,240.31104371813115
14.372;247.10691375150083,238.3321502544264,240.31288564408325
14.402;247.13372731805438,238.37581471926168,240.31472757003536
14.432;246.9443572925955,238.10815699557142,240.00768849434712
14.462;246.64689547113042,237.6848381776184,239.54620891783867
14.492;246.34943364966534,237.26151935966533,239.08472934133025
14.522;246.161135558438,236.98333837700093,238.79606313031843
14.552;246.22755283776544,237.04381234334332,238.9106281054655
14.582;246.29397011709287,237.10428630968573,239.02519308061255
14.612;246.36038739642032,237.16476027602815,239.1397580557596
14.642;246.22881552015662,236.8332043064857,238.85294623940825
14.672;246.08310156135073,236.4736461986658,238.5374646522356
14.702;245.93738760254482,236.11408809084585,238.22198306506294
14.732;245.8891757657112,236.05034855378824,238.1759496421411
14.762;245.9262782856034,236.24545026614769,238.3656833629387
