time;Pixel leftCheek
37.455;215.28697478991597,192.86113445378152,199.96638655462183
37.557;215.092492741601,192.9890087100788,199.6399834093737
37.657;214.37460847776154,192.75673418250156,198.96095218208393
37.759;214.7922321987889,192.97995406139069,199.41198580079347
37.894;215.5794160281632,193.5245392420791,200.31621453717125
37.994;214.46223248006714,192.3772555602182,199.30801510700798
38.096;214.7668827095965,192.9353961948568,199.7721095546728
38.198;214.85182863113897,192.84242424242424,199.5962382445141
38.299;215.9049896049896,193.58877338877338,200.67941787941788
38.368;215.00295483326298,193.25031658927819,199.93626002532713
38.533;214.98443337484434,192.8005396430054,199.84682440846825
38.634;215.55944798301485,193.33949044585987,199.980042462845
38.701;214.32191921263072,192.5954480213246,199.32540496206684
38.769;215.5463352990733,193.95682392586352,200.38963774220724
38.87;214.7616182572614,193.0784232365145,199.81390041493776
39.036;215.54848291958413,193.1349458943348,200.37810311903246
39.149;215.92234245703375,193.48610227031614,200.47570549543815
39.283;215.60157872870795,193.3743248857499,200.382010801828
39.383;214.46401515151516,192.88362794612794,199.27672558922558
39.484;214.50582605076988,192.79088639200998,199.50187265917603
39.585;215.27363078875027,193.46584901670545,199.93317826178895
39.686;215.5824039653036,193.68215613382898,200.4940107393639
39.82;215.21205688813416,193.35109318616006,200.2903842071747
39.957;214.0479950135051,191.8703511323499,198.95429046332848
40.057;215.49612240620414,193.43953049675122,200.6587717459652
40.158;213.5718438538206,191.51889534883722,198.3141611295681
40.259;213.55140979436084,191.69472122111512,198.59868560525757
40.326;213.74946921443737,191.90084925690022,198.91868365180468
40.401;213.03297626549045,191.49128334383533,197.90590212140307
40.502;214.07855492543584,192.1411468178954,198.7487922705314
40.639;214.76458112407212,193.1879109225875,199.96924708377517
40.741;212.75841042893188,191.26850294365013,197.74726661059714
40.806;213.40958698908625,191.56837149582708,198.3417504814894
40.94;215.1306830196659,192.55233664622543,200.0907168534574
41.042;214.26071577195174,192.1885143570537,199.26591760299627
41.165;213.96914623837702,191.87066779374473,198.8812341504649
41.272;213.9437238493724,192.1512552301255,198.91987447698745
41.406;214.42446651172617,192.38242129727445,199.28121698711178
41.508;214.84748591696223,192.98581264343835,199.7014395994158
41.615;214.57200338839476,192.62346463362982,199.22066920796271
41.718;212.51409034397017,190.86179030252796,197.55822627434728
41.788;214.83853172077232,192.72353065987693,199.74877997029492
41.889;215.01570125185657,192.98896668788458,199.88181625291747
41.993;215.4403160367286,193.3734785393978,200.4693572496263
42.093;213.7252308984047,191.556255247691,198.47313182199832
42.228;215.12727657772132,192.52647183396866,199.91084286319355
42.3;215.21952789699571,193.09742489270386,200.04742489270387
42.401;214.288554090814,192.25884076166562,199.20422682569574
42.503;214.58049502855934,193.01713560397715,199.73365771102178
42.604;214.89515958571127,193.04882688649334,199.90572817586133
42.739;214.0046354825116,191.99978929624947,199.0189633375474
42.841;213.99513227513228,192.14857142857142,199.19873015873017
42.913;214.6640674394099,192.16375131717598,199.2459430979979
42.986;213.915765391015,191.85232945091514,199.04950083194674
43.059;213.36361724500526,191.63638275499474,198.44416403785488
43.228;212.46414629134992,190.88904869529483,197.47667967947402
43.361;213.41626290288605,191.4590267537392,198.15904781967558
43.429;213.2454564445373,191.47733444746189,198.1226237727178
43.529;213.57346767422334,191.6601595298069,198.3660789252729
43.631;213.49862955935063,191.45709466582332,198.34324267341344
43.703;212.48013383521538,191.05269761606021,197.6194061062317
43.804;212.9311859443631,190.78079899602594,197.89939343233632
43.871;213.34456613310869,191.17860151642796,198.25252737994944
43.971;213.2883295194508,191.1957561888912,198.3232785521115
44.106;212.80356007628734,190.47552447552448,197.72600127145583
44.238;212.03375,190.25229166666668,196.815
44.339;213.65573770491804,191.55989911727616,198.67528373266077
44.446;213.51867394041125,191.6430969366345,198.52916491817038
44.547;213.74889496948012,191.9475899810566,198.93180383077248
44.622;213.10802340158796,191.1199331383201,198.2152110321772
44.756;212.89592094196803,190.69091673675356,197.71383515559293
44.858;213.56204844878877,191.59031024224393,198.6451338716532
44.929;214.36373209772535,191.81802864363942,198.94481887110362
45.027;214.20206925675674,191.91005067567568,198.78547297297297
45.143;212.89463682432432,191.19594594594594,198.02618243243242
45.31;212.78918577740376,190.95855249316222,197.63118030717442
45.411;213.5786136939983,191.74175824175825,198.4480135249366
45.479;213.60312104597216,191.84289329396879,198.64023618726276
45.58;213.71362586605082,191.8337182448037,198.8282595003149
45.69;213.12759204401186,190.80829454083792,198.04337706305543
45.792;214.2223867964452,191.8884892086331,199.04845535336437
45.859;213.78749215645263,191.44363103953148,198.74900648399915
45.995;213.19085907744392,191.01396529834955,198.19001269572578
46.096;212.77034395973155,190.71979865771812,197.97504194630872
46.197;213.87720773759463,192.0145079899075,199.0138772077376
46.298;213.66105971404542,192.03658536585365,198.63183347350716
46.365;213.06383872322553,191.33935321293575,198.10562788744224
46.465;212.2173546756529,190.219250210615,197.62784330244313
46.571;211.5572149768616,189.76945729911654,196.34875893984014
46.74;212.88407023482125,190.76771736830972,197.89760947746984
46.811;212.68146433831265,190.611613717652,197.84998948032822
46.879;212.74055415617127,190.52560873215785,197.52623845507978
46.98;212.79107633749206,190.6872488898287,197.90209346584902
47.047;212.75195601607106,190.73990272784943,197.97695072954113
47.114;212.98446477974036,191.07320706533304,197.94126409874443
47.249;213.1018538248455,191.33624547197954,198.08374174302153
47.316;212.16097046413503,190.42257383966245,197.292194092827
47.417;212.56480304955528,190.55781448538755,197.4161372299873
47.516;212.11541719610335,190.13828886065227,197.3293096145701
47.686;212.7952471886272,190.83704646721833,198.0099724167197
47.786;212.08710359408033,190.19788583509515,197.14439746300212
47.854;212.0952178533475,190.10053134962806,196.89606801275238
47.954;213.43141827432692,191.47148611405555,198.44095823616706
48.034;213.49494310998736,191.720396123051,198.64622840286557
48.182;213.72825396825397,191.88232804232806,198.63724867724866
48.284;213.28275132275132,191.87259259259258,198.68973544973545
48.353;213.36633663366337,191.27448915104276,198.29892563724457
48.459;212.99237933954277,191.2288314987299,197.89288738357325
48.561;213.57070707070707,191.3872053872054,198.6723484848485
48.665;214.54935344827587,191.84719827586207,199.28793103448277
48.767;214.02358490566039,191.68932246998284,198.85827615780445
48.9;213.7706362854686,191.84221840068787,198.73882201203784
49;213.6827025871285,191.80286508445585,198.50481077613856
49.102;214.20214132762314,192.1286937901499,199.38865096359743
49.202;213.83290598290597,192.1811965811966,198.86709401709402
49.303;213.46082850397082,191.3095084782142,198.42519854045932
49.403;213.6868365180467,191.82186836518048,198.80912951167727
49.504;214.3397491349481,192.1440311418685,199.03287197231833
49.571;213.03001479602622,190.9023462270133,197.84633269921792
49.676;213.49005772931366,191.58798375026726,198.75390207397905
49.78;212.804725067949,191.04411457244407,198.03198829186704
49.948;213.49301825993555,191.78453276047262,198.71901181525243
50.048;213.8984922488851,192.04735612656614,199.05181567211721
50.149;213.3783147989735,191.4114627887083,198.438622754491
50.254;213.20872865275143,191.23107737718743,198.6044697448872
50.36;213.263539445629,191.6326226012793,198.59232409381664
50.528;213.19065736630733,191.52568167406469,198.67786937222576
50.63;213.2449543233482,191.73103887826642,198.5971956660293
50.733;213.73384681215234,191.90265297389817,198.95656824989302
50.834;213.0621457064875,191.52089019525508,198.29834138148226
50.94;213.30301733361867,191.4919751765461,198.38454953991013
51.071;212.0579313250474,190.30018959342743,197.6300821571519
51.173;213.20749464668094,191.05824411134904,198.30449678800858
51.273;212.7900795311846,190.8781917120134,197.97844286312264
51.339;213.0729817007535,191.09558665231432,198.4465016146394
51.473;212.58107255520505,191.006309148265,197.82376445846478
51.61;213.20178989985084,191.42637971446837,198.46814404432132
51.713;213.09157432573699,191.195274932051,198.60275977420028
51.814;213.4415723136082,191.69750053407392,198.66631061738946
51.914;212.70257807587507,191.15342695451687,197.99706560469502
52.02;211.3621451104101,189.80147213459517,196.77623554153521
52.12;212.50445103857567,190.4906740144129,197.44807121661722
52.226;212.84930055108097,190.21958456973294,197.61615091140314
52.363;212.17522274077217,190.14997878659312,197.44929995757317
52.465;212.48476570708132,190.42256776633747,197.8176087413322
52.566;212.95060164661177,191.2100485539371,198.20434874393075
52.667;213.2167019027484,191.4909090909091,198.35221987315012
