time;Pixel forehead
39.585;245.44949047408065,235.43176783340718,238.32498892334957
39.686;245.79026133571588,235.9374581192763,238.65668974759885
39.82;245.05320328086898,234.7984925737087,237.4710707160275
39.957;245.85518941941268,236.02936561309124,238.79242322349248
40.057;245.3247038174638,235.44207985958755,238.24923211935058
40.158;245.74602107150864,235.82672046626317,238.54404841963685
40.259;245.1887304820095,235.1498076487893,237.93957909029191
40.326;245.91101123595504,235.9058426966292,238.91168539325844
40.401;245.41953107216025,235.7045299339859,238.35624857728203
40.502;245.50170726155247,235.29592533576144,237.9610744366037
40.639;245.0409304406173,234.86759114292104,237.299932900917
40.741;245.83503517131837,236.13818924438394,238.761969593828
40.806;245.39598662207356,235.64169453734672,238.3355629877369
40.94;245.16685330347144,235.31623740201567,238.00246360582307
41.042;245.66392896781355,236.02796892341843,238.82108768035516
41.165;245.3455947136564,235.5191629955947,238.18281938325993
41.272;245.89533841326758,236.1963245181533,238.9385925593904
41.406;245.08195637805684,235.20290812954394,237.88455606961887
41.508;245.70374523435748,236.11527248261942,238.6662928907827
41.615;245.79468438538206,236.28172757475082,239.02458471760798
41.718;245.63738233975795,236.158000896459,238.77543702375615
41.788;244.59032038173143,234.04794364917063,236.78686662122246
41.889;244.76414451261078,234.3478754828448,237.09770506703023
41.993;245.85039727582293,236.35028376844494,239.10578887627696
42.093;245.1745960502693,235.07966786355476,237.81036804308798
42.228;245.40132329454713,235.64681724845997,238.3036732831394
42.3;245.52390900649954,235.71378830083566,238.34122562674094
42.401;245.53909740840035,236.14008042895443,238.6823056300268
42.503;245.34655671941164,235.47893915756632,238.0733229329173
42.604;245.4790499663903,235.908805736052,238.39390544476808
42.739;245.4302637460885,235.68059901654001,238.32677693339295
42.841;245.38800980610654,235.63650546021842,238.27568531312681
42.913;245.73642030276045,235.95258236865538,238.8760017809439
42.986;246.25970281658905,236.73741406076735,239.8944333555112
43.059;245.80676328502415,236.2165129556434,239.06807202459376
43.228;246.7451763140386,237.5630960301619,240.60301618984255
43.361;246.67967902841033,237.93493819128173,240.67404033832142
43.429;245.38841154439305,235.8268341044283,238.4461335095836
43.529;245.86514614703276,236.38042515500442,239.0055358724535
43.631;246.24035087719298,236.82061403508771,239.4826754385965
43.703;245.7399735566329,236.03349493168795,238.84662847069194
43.804;245.75038084874865,236.1170837867247,238.81871599564744
43.871;245.61465669014083,235.78543133802816,238.78235035211267
43.971;245.8960953011251,236.2801676593867,239.36885065078314
44.106;246.28093572365543,236.88259728902491,239.89046786182772
44.238;246.08174144824523,236.68591737005775,239.52665482007995
44.339;246.34362004815057,236.94790982709566,239.9260231998249
44.446;246.19789612097304,236.70523778216085,239.36313828621522
44.547;245.6235241701938,235.92203163288036,238.8304744932056
44.622;245.53772958619163,235.81212657667626,238.51338791768092
44.756;245.50716332378224,235.6989199911836,238.80030857394755
44.858;245.50366259711433,235.73873473917868,238.59067702552719
44.929;245.2702460850112,235.00335570469798,238.18859060402684
45.027;245.86756876663708,236.41725820763088,239.43500443655722
45.143;245.90701287172658,236.19329782512207,239.07878384376386
45.31;245.2087150837989,235.5173184357542,238.3445810055866
45.411;245.46447721179624,235.67202859696158,238.45554066130472
45.479;245.55746102449888,235.5218262806236,238.47928730512248
45.58;245.331914893617,235.38745800671893,238.29339305711088
45.69;245.404740608229,235.625,238.51520572450806
45.792;245.4330655957162,235.6586345381526,238.5776439089692
45.859;245.74227733934612,235.86719278466742,238.80608793686585
45.995;245.16119005328596,235.13610124333925,238.09169626998224
46.096;245.85634867689572,236.00689348454526,239.12875250166778
46.197;245.1777976323431,235.32678132678132,238.15233415233416
46.298;245.11436229618047,235.0551708733527,238.04757650212196
46.365;245.7265014512168,236.06630944407235,238.7818709533378
46.465;246.05696063338465,236.80294699802067,239.71541675830218
46.571;245.62640511351114,235.54375137756227,238.58739255014328
46.74;245.40806878306879,235.28681657848324,238.51521164021165
46.811;245.36083388778,235.19560878243513,238.22488356620093
46.879;245.84494927216585,236.07609175121306,239.05888839876488
46.98;245.09131702939197,235.36953107471393,238.11195871662554
47.047;245.09939421135292,235.3432802333408,238.0567646398923
47.114;245.0673208580557,235.15449566408032,237.91191236878137
47.249;245.25606469002696,235.21451033243486,237.92924528301887
47.316;245.54089050431622,235.61176737846432,238.50408905043162
47.417;245.4385925593904,235.55535634244734,238.37785746302106
47.516;245.03712086917156,234.65278406518786,237.7105024898144
47.686;245.37198285585382,235.56327543424317,238.55898939769907
47.786;245.06558870416762,234.9375996356183,237.79230243680254
47.854;245.48785425101215,235.65991902834008,238.78789923526764
47.954;245.13418530351439,235.06115928799636,237.95778183477864
48.034;245.28725072820973,235.30114272910598,238.380461572933
48.182;245.31443298969072,235.48722545943522,238.18579112505603
48.284;245.35432541461228,235.51367099955178,238.51680860600626
48.353;245.57496066531806,235.87210609125646,238.76579006518318
48.459;244.85186832740214,234.75845195729536,237.66703736654804
48.561;245.0948625506985,235.17575484452456,237.95515998197385
48.665;244.44418977767592,234.0999312399725,237.03827641531058
48.767;244.77099767981437,234.554060324826,237.5278422273782
48.9;244.60929274433508,234.10345616845962,237.10666056305791
49;244.76530376530377,234.43705243705244,237.4148764148764
49.102;244.6405890473999,233.9284399447768,237.0064427059365
49.202;244.6466927863563,234.49850195897673,237.2341553353307
49.303;244.02882841328415,233.39644833948338,236.12799815498155
49.403;244.84732288987607,234.6953472059855,237.45639466916063
49.504;244.65695573622403,234.30329719963865,237.13482384823848
49.571;244.93460490463215,235.10013623978202,237.92597638510446
49.676;245.07399864222674,234.95021498076488,237.92894319981897
49.78;245.37514098804422,235.64989848860816,238.56350101511393
49.948;245.22526978417267,235.6128597122302,238.42221223021582
50.048;245.14007694048428,235.61280832767594,238.408237157728
50.149;245.05310531053107,235.06458145814582,237.93789378937893
50.254;244.9111111111111,234.80359147025814,237.70213243546576
50.36;245.0440223463687,234.99709497206703,237.95441340782122
50.528;245.18947606142729,235.41915085817524,238.46883468834687
50.63;245.30753655793026,235.5982002249719,238.45736782902136
50.733;245.21378845721986,235.42802604985403,238.41163260723107
50.834;245.24013452914798,235.44686098654708,238.28946188340808
50.94;245.25217974513748,235.50458305387883,238.4131455399061
51.071;245.25348314606742,235.4588764044944,238.3267415730337
51.173;244.55187093883038,234.68384494734482,237.57898274703115
51.273;245.39874411302984,235.66943260820813,238.63287732675488
51.339;244.94832621882722,234.94765221298584,237.9741631094136
51.473;245.56265411342747,235.76171262048868,238.76754091010983
51.61;245.05932393104993,235.0143272890083,238.1016342064025
51.713;245.32224207235373,235.52166145600714,238.4979901741849
51.814;244.90051304929736,235.06558108409547,237.99620789649788
51.914;245.89399054692774,236.42381273914023,239.43056493360342
52.02;245.42477487370965,235.75378871074017,238.89764990116407
52.12;245.3820399113082,235.80310421286032,238.85898004434588
52.226;245.45920177383593,235.73037694013303,238.72439024390243
52.363;245.428793256433,235.6273291925466,238.85359361135758
52.465;245.3046875,235.96830357142858,238.99508928571427
52.566;245.29417040358746,235.39910313901345,238.4634529147982
52.667;245.12494402149574,235.42722794446934,238.51477832512316
